name_x,gmap_id,address,avg_rating,user_id,name_y,time,rating,text,pics,resp
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,102713779159148672215,william mj cummins,1624067249657,1,I went to this subway today they only had wheat bread the girl Agustina had uneven nails I was short and long and got in my bread then they said they charge for water cups they have no toaster it’s been broken so long they have a permanent sign that’s up on the actual Buffet area for the foods and they were skimpy with the olives and she just rolled her eyes and we asked for more olives I only gave one star because I have to I would call and ask to speak to the manager but I’m afraid they’re probably gonna be as ratchet and as terrible as the employees and not take the complete and just ignore me and say call corporate,,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,109191138258127680300,Tracy Wisneski,1533858489447,1,"I just went here today and i have no idea what happened. I got a meatball sub for my husband and it is the most terrible driest sandwich ever! The lady sandwich maker had so many problems because i asked her to cut the meat balls in half. She did it on paper and left the sauce on the paper. When i asked her to put mote on the sandwich, she said there wasn't any sauce. This sandwich is gross. And my dog didn't even like it. This used to be my favorite subway. It sure isn't anymore. Now it's the worst. Bummer. Every employee there used to be totally awesome. Not anymore.

This is the best Subway I have ever been to and I've eaten at several. The customer service is awesome and I don't know but for some reason the sandwiches here just taste better I recommend this Subway to anyone",[{'url': ['https://lh5.googleusercontent.com/p/AF1QipN8KW8TRQUVPCav9X2Hq2NCR3qu478L9grvdodu=w150-h150-k-no-p']}],
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,102235696076480343497,Emilee Clarke,1574113648966,4,"I specifically liked the veggies sub that was seasoned with salt and pepper and the sweet onion sauce. It was delicious and I think I realized it would be just as good as the meat one for me. I've been going for the subway club but the goal has been to go more plant based. Not wanting to go full vegetarian, nor obviously vegan, but wanting to lay off meat to some extent. I think it's making me feel healthier.",,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,112402809191722755789,Hailey Santos,1584475436513,2,"I don't know if it was this girl's first day, but it sure served like I would've been better off making the wrap myself. Chipotle Southwest wrap comes a certain way. I know they have the list of things that go on there because you can see it behind the counter. She had no idea what she was doing and put basically nothing in my wrap. She also tried to rush me and made me feel like she had better things to do. The restaurant was empty. I'm never going back, and my wrap really isn't that great. Thanks, Alana.",,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,101639109428355473830,Jestine Moss,1594952432760,1,"Very unprofessional. I arrived at 7pm. The normal closing time is 9pm and The new Covid closing time they have posted on the door is 8 PM. So why am I standing at a door knocking on it while guest they’re still inside, to have your employees ignore me as if I’m there after hours. If they decided to close before the normal posted time they should at least have the decency to come to the door and tell  the three other people standing outside thinking they have to wait in line because of Covid, that they’re closed early.",,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,110106137945662974220,Susan Shaffer,1551450473659,4,"Great place to pick up a quick sandwich, food was good as usual.   It was nice because there way no one else there at the time so no wait!  Yeah!",,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,101431788011768076249,Mr Sam,1546907787601,5,Best Subway in the high desert! Bree is my favorite Subway artist. She made my subs perfect every time. Thank you! !,,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,107472790269667470905,shuntae adkins,1551039436617,5,The best sandwich I have had in a very long time,,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,105006528856222957573,Brian Eddy,1547404148233,5,"Friendly staff, fast service, and attached to the gas station, so anything else you might need is right there.  Right off the freeway too.  Would stop by again.",,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,105275879704510294095,anthony nichols,1557471095431,5,Give me the sandwiches just the way I want them and they were good,,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,100457961617043400984,Richard Crumpton sr,1544271210306,4,Good sandwichs that are hand made by usually polite and courteous younger people. Clean facilities. Sandwichs made to your order of reguested ingredients in front of you at their counter.,,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,113261297823596331532,Old school Love (loveindo),1551849560950,3,Quick bite to eat they're okay,,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,114680136660446523418,Sarah Saranzak,1550188846764,5,Staff is really friendly the food is great,,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,107882948988660875671,Jennifer Simpson,1542561459610,5,Always fast service and the girls there are so friendly,,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,114870389164107798523,Jose Rodriguez,1551918322808,5,Great price and food,,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,108832097831567415503,samuel peña,1557948594367,4,Like any other subway.,,
Subway,0x80c364f7c3f4593d:0x48478cfad03fdbcb,"Subway, 16251 N D St, Victorville, CA 92394",4.2,100803894783813158200,Ty Escudero,1554090847275,5,Good sandwiches,,
